"","datetime","discharge_daily"
"539",2015-06-23,7178.8375
"540",2015-06-24,7805.8625
"541",2015-06-25,8587.70416666667
"542",2015-06-26,9100.19166666667
"543",2015-06-27,12234.7625
"544",2015-06-28,20228.4166666667
"545",2015-06-29,22031.25
"546",2015-06-30,25132.7916666667
"547",2015-07-01,26218
"548",2015-07-02,22325.875
"549",2015-07-03,17485.375
"550",2015-07-04,14509.75
"551",2015-07-05,12450.7083333333
"552",2015-07-06,10822.2083333333
"553",2015-07-07,9806.1125
"554",2015-07-08,10479.1416666667
"555",2015-07-09,11086.5416666667
"556",2015-07-10,9150.28333333333
"557",2015-07-11,8484.9125
"558",2015-07-12,8034.59583333333
"559",2015-07-13,7878.44583333333
"560",2015-07-14,8002.26666666667
"561",2015-07-15,8466.16666666667
"562",2015-07-16,8594.69166666667
"563",2015-07-17,8167.55
"564",2015-07-18,7625.09166666667
"565",2015-07-19,7236.95833333333
"566",2015-07-20,6779.81666666667
"567",2015-07-21,6196.60833333333
"568",2015-07-22,5608.14166666667
"569",2015-07-23,5100.84166666667
"570",2015-07-24,4665.24583333333
"571",2015-07-25,4289.19583333333
"572",2015-07-26,3933.95416666667
"573",2015-07-27,3786.6875
"574",2015-07-28,3653.52916666667
"575",2015-07-29,3482.2
"576",2015-07-30,3677.25833333333
"577",2015-07-31,3523.44583333333
"578",2015-08-01,3109.35
"579",2015-08-02,2897.85416666667
"580",2015-08-03,2686.175
"581",2015-08-04,2501.35
"582",2015-08-05,2421.8625
"583",2015-08-06,2203.0875
"584",2015-08-07,2044.42916666667
"585",2015-08-08,1894.24583333333
"586",2015-08-09,1764.59583333333
"587",2015-08-10,1703.53333333333
"588",2015-08-11,1614.5625
"589",2015-08-12,1514.03333333333
"590",2015-08-13,1422.5875
"591",2015-08-14,1335.85416666667
"592",2015-08-15,1251.275
"593",2015-08-16,1166.675
"594",2015-08-17,1080.225
"595",2015-08-18,995.724166666667
"596",2015-08-19,919.663333333333
"597",2015-08-20,1177.70125
"598",2015-08-21,1525.23333333333
"599",2015-08-22,1623.13333333333
"600",2015-08-23,1688.76666666667
"601",2015-08-24,1642.10416666667
"602",2015-08-25,1664.425
"603",2015-08-26,1531.6875
"604",2015-08-27,1410.675
"605",2015-08-28,1312.75416666667
"606",2015-08-29,1235.27916666667
"607",2015-08-30,1174.17916666667
"608",2015-08-31,1115.6375
"609",2015-09-01,1049.7
"610",2015-09-02,974.507916666667
"611",2015-09-03,887.792916666667
"612",2015-09-04,792.6475
"613",2015-09-05,703.469166666667
"614",2015-09-06,622.492083333333
"615",2015-09-07,549.448333333333
"616",2015-09-08,488.614166666667
"617",2015-09-09,439.0175
"618",2015-09-10,411.420833333333
"619",2015-09-11,416.180833333333
"620",2015-09-12,449.79625
"621",2015-09-13,569.373333333333
"622",2015-09-14,662.264166666667
"623",2015-09-15,745.9325
"624",2015-09-16,772.899583333333
"625",2015-09-17,753.592083333333
"626",2015-09-18,710.242083333333
"627",2015-09-19,655.078333333333
"628",2015-09-20,598.276666666667
"629",2015-09-21,546.578333333333
"630",2015-09-22,651.349583333333
"631",2015-09-23,622.089166666667
"632",2015-09-24,558.420416666667
"633",2015-09-25,509.30125
"634",2015-09-26,478.424583333333
"635",2015-09-27,470.308333333333
"636",2015-09-28,484.089166666667
"637",2015-09-29,726.832083333333
"638",2015-09-30,3922.48333333333
"639",2015-10-01,4611.825
"640",2015-10-02,5622.50416666667
"641",2015-10-03,7357.45833333333
"642",2015-10-04,8101.975
"643",2015-10-05,9146.04166666667
"644",2015-10-06,9922.99166666667
"645",2015-10-07,9702.9
"646",2015-10-08,9003.45833333333
"647",2015-10-09,8184.66666666667
"648",2015-10-10,7491.2625
"649",2015-10-11,6816.27916666667
"650",2015-10-12,6174.97916666667
"651",2015-10-13,5629.24583333333
"652",2015-10-14,5211.24583333333
"653",2015-10-15,4880.67083333333
"654",2015-10-16,4597.62083333333
"655",2015-10-17,4320.54166666667
"656",2015-10-18,4052.1375
"657",2015-10-19,3816.625
"658",2015-10-20,3593.0875
"659",2015-10-21,3378.50833333333
"660",2015-10-22,3180.85833333333
"661",2015-10-23,2997.475
"662",2015-10-24,2813.18333333333
"663",2015-10-25,2635.67083333333
"664",2015-10-26,2463.2375
"665",2015-10-27,2307.65416666667
"666",2015-10-28,3058.09583333333
"667",2015-10-29,5881.35416666667
"668",2015-10-30,7141.45833333333
"669",2015-10-31,6224.20833333333
"670",2015-11-01,5240.55833333333
"671",2015-11-02,4770.80833333333
